Zona,upp,ano,mes,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,total_roubos,furto_veiculos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,recuperacao_veiculos,armas_apreendidas,cump_mandado_prisao,ocorr_flagrante,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,registro_ocorrencias
 Sul,Santa Marta,2007,Janeiro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,11
 Oeste,Cidade de Deus,2007,Janeiro,3,0,0,0,1,18,1,0,1,0,0,5,0,3,9,0,0,3,0,25,1,8,0,0,0,3,15,11,7,2,11,7,2,0,0,0,0,98
 Oeste,Batam,2007,Janeiro,0,0,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,5,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,19
 Sul,Chapéu Mangueira / Babilônia,2007,Janeiro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,9
 Sul,Pavão-Pavãozinho,2007,Janeiro,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,12
 Sul,Tabajaras,2007,Janeiro,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6
 Central,Providência,2007,Janeiro,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,2,2,5,0,0,8,0,0,0,0,0,31
 Norte,Borel,2007,Janeiro,1,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,17
 Oeste,Formiga,2007,Janeiro,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6
 Norte,Andaraí,2007,Janeiro,0,0,0,3,0,1,0,0,0,0,0,7,2,2,0,0,0,0,0,13,2,4,0,0,0,1,1,4,2,0,1,4,0,0,0,0,0,32
 Norte,Salgueiro,2007,Janeiro,0,0,0,0,0,7,0,0,0,1,1,4,0,6,0,0,0,1,0,14,5,14,0,0,0,3,0,0,0,0,1,8,1,0,0,0,0,42
 Norte,Turano,2007,Janeiro,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,20
 Norte,São João / Matriz / Queto,2007,Janeiro,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,7
 Norte,Coroa / Fallet / Fogueteiro,2007,Janeiro,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,15
 Central,Escondidinho / Prazeres,2007,Janeiro,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,8
 Central,São Carlos,2007,Janeiro,0,0,0,0,0,13,0,0,2,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0,6,0,0,7,1,0,0,0,0,36
